Experiment parameters :;;;;;;;;;;;;;;;;;;;;;;;
Instruction;5. Full accuracy;;;;;;;;;;;;;;;;;;dot size = ;0.01011;;;
Block number;5;;;;;;;;;;;;;;;;;;;D S et T  positions relative par rapport à la ligne de départ;;;
D screen value (in mm);150;;;;;;;;;;;;;;;;;;;;;;39.000
D screen value (in pixels);564.705882;;;;;;;;;;;;;;;;;;;;min;;
DC Gain;1;;;;;;;;;;;;;;;;;;;;3821;;
Duration (in s);0;;;;;;;;;;;;;;;;;;;;max;;
Screen offset (in mm);95;;;;;;;;;;;;;;;;;;;;3868;;
Tablet offset (in mm);39;;;;;;;;;;;;;;;;;;;;moy;;
Tablet start line (in dots);3859;;;;;;;;;;;;;;;;;;;;3855.5;;
Tablet target line (in dots);18703;;;;;;;;;;;;;;;;;;;La correction reste à faire;;;
Screen start line (pixels);357;;;;;;;;;;;;;;;;;;;Nouvelle colonne;;;
;;;;;;;;;;;;;;;;;;;;faire la troncature de col S;X tablet in dots;;
Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm);x screen pixel;si x screen px = 0;;
1.49389498;4171;14195;3;502;85;93;2;14;0;0;4;16;8;1;0;0;64;12.49797746;3.1479;12;;;
1.50995898;4099;14193;2;507;85;92;2;14;0;0;4;16;8;0;0;0;64;9.7589316;2.420341;9;;;
1.51389198;4028;14194;1;490;85;91;3;14;0;0;0;16;8;1;2;0;64;7.05792805;1.702887;7;;;
1.52986398;3957;14198;0;487;86;90;3;14;0;0;0;16;8;0;2;0;64;4.3569245;0.985433;4;;;
1.53388898;3873;14199;0;500;86;90;12;14;0;0;0;16;8;0;2;0;64;1.16137101;0.136614;1;;;
1.54986398;3856;14201;0;550;85;89;0;14;0;0;0;16;8;1;0;0;64;0.51465184;-0.035171;0;3856;;
1.55388798;3881;14205;0;570;85;89;0;14;0;0;0;16;8;1;0;0;64;1.46570943;0.217454;1;;;
1.56986498;3881;14202;0;574;85;89;15;14;0;0;0;16;8;1;0;0;64;1.46570943;0.217454;1;;;
1.57388998;3885;14203;0;587;85;89;1;14;0;0;0;16;8;1;0;0;64;1.61787865;0.257874;1;;;
1.58986798;3890;14205;0;643;84;89;14;14;0;0;0;16;8;1;0;0;64;1.80809017;0.308399;1;;;
1.60986298;3889;14203;0;672;84;89;3;14;0;0;0;16;8;1;0;0;64;1.77004786;0.298294;1;;;
1.61389298;3893;14207;0;696;84;89;3;14;0;0;0;16;8;1;0;0;64;1.92221708;0.338714;1;;;
1.62986598;3895;14205;0;715;83;89;12;14;0;0;0;16;8;1;0;0;64;1.99830168;0.358924;1;;;
1.63388998;3892;14204;0;731;83;89;3;14;0;0;0;16;8;1;0;0;64;1.88417477;0.328609;1;;;
1.64986598;3895;14207;0;749;83;89;0;14;0;0;0;16;8;1;0;0;64;1.99830168;0.358924;1;;;
1.65388898;3893;14205;0;761;83;89;13;14;0;0;0;16;8;1;0;0;64;1.92221708;0.338714;1;;;
1.66986598;3891;14205;0;774;83;89;13;14;0;0;0;16;8;1;0;0;64;1.84613247;0.318504;1;;;
1.67388898;3893;14205;0;782;83;89;13;14;0;0;0;16;8;1;0;0;64;1.92221708;0.338714;1;;;
1.68986598;3892;14204;0;789;83;89;13;14;0;0;0;16;8;1;0;0;64;1.88417477;0.328609;1;;;
1.69388998;3891;14202;0;797;83;89;1;14;0;0;0;16;8;1;0;0;64;1.84613247;0.318504;1;;;
1.70986398;3891;14204;0;805;83;89;1;14;0;0;0;16;8;1;0;0;64;1.84613247;0.318504;1;;;
1.71389298;3891;14205;0;811;83;89;1;14;0;0;0;16;8;1;0;0;64;1.84613247;0.318504;1;;;
1.72986998;3888;14201;0;818;83;89;3;14;0;0;0;16;8;1;0;0;64;1.73200556;0.288189;1;;;
1.73388998;3889;14203;0;824;83;89;3;14;0;0;0;16;8;1;0;0;64;1.77004786;0.298294;1;;;
1.74986598;3886;14203;0;832;83;89;14;14;0;0;0;16;8;1;0;0;64;1.65592095;0.267979;1;;;
