Experiment parameters :
Instruction;Full speed
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.40931709;3849;14434;0;268;84;103;8;14;0;0;4;0;0;1;2;32;64;0.24835572;-0.105906
1.42131709;3853;14438;0;425;84;103;8;14;0;0;4;0;0;1;2;32;64;0.40052493;-0.065486
1.42931209;3850;14431;0;491;84;103;9;14;0;0;4;0;0;1;2;32;64;0.28639802;-0.095801
1.44131809;3850;14433;0;530;84;103;10;14;0;0;4;0;0;1;2;32;64;0.28639802;-0.095801
1.44931109;3854;14436;0;570;84;103;11;14;0;0;4;0;0;1;2;32;64;0.43856724;-0.055381
1.46131809;3852;14434;0;611;84;103;8;14;0;0;4;0;0;1;2;32;64;0.36248263;-0.075591
1.46931109;3851;14433;0;644;84;103;10;14;0;0;4;0;0;1;2;32;64;0.32444033;-0.085696
1.48131609;3851;14435;0;669;84;103;10;14;0;0;4;0;0;1;2;32;64;0.32444033;-0.085696
1.48931909;3849;14434;0;695;84;103;13;14;0;0;4;0;0;1;2;32;64;0.24835572;-0.105906
1.50131109;3849;14433;0;718;84;103;8;14;0;0;4;0;0;1;2;32;64;0.24835572;-0.105906
1.50931809;3847;14433;0;736;84;103;14;14;0;0;4;0;0;1;2;32;64;0.17227111;-0.126115
1.52131809;3849;14432;0;750;84;103;11;14;0;0;4;0;0;1;2;32;64;0.24835572;-0.105906
1.52931709;3847;14433;0;762;84;103;10;14;0;0;4;0;0;1;2;32;64;0.17227111;-0.126115
1.54131909;3846;14433;0;772;84;103;11;14;0;0;4;0;0;1;2;32;64;0.13422881;-0.136220
1.54931209;3848;14436;0;779;84;103;8;14;0;0;4;0;0;1;2;32;64;0.21031342;-0.116010
1.56131909;3849;14434;0;784;84;103;11;14;0;0;4;0;0;1;2;32;64;0.24835572;-0.105906
1.56931209;3848;14430;0;790;84;103;8;14;0;0;4;0;0;1;2;32;64;0.21031342;-0.116010
1.58131809;3846;14432;0;798;85;103;10;14;0;0;4;0;0;1;2;32;64;0.13422881;-0.136220
1.58932009;3848;14435;0;809;85;103;9;14;0;0;4;0;0;1;2;32;64;0.21031342;-0.116010
1.60131209;3848;14430;0;816;85;103;10;14;0;0;4;0;0;1;2;32;64;0.21031342;-0.116010
1.60931809;3846;14430;0;823;85;103;15;14;0;0;4;0;0;1;2;32;64;0.13422881;-0.136220
1.62131809;3847;14432;0;827;85;103;14;14;0;0;4;0;0;1;2;32;64;0.17227111;-0.126115
1.62931309;3847;14433;0;832;85;102;9;14;0;0;4;0;0;0;2;32;64;0.17227111;-0.126115
1.64132009;3847;14431;0;837;85;102;9;14;0;0;4;0;0;0;2;32;64;0.17227111;-0.126115
1.64931209;3845;14435;0;841;85;102;15;14;0;0;4;0;0;0;2;32;64;0.09618651;-0.146325
1.66131809;3846;14432;0;848;85;102;15;14;0;0;4;0;0;0;2;32;64;0.13422881;-0.136220
1.66931309;3847;14429;0;853;85;102;15;14;0;0;4;0;0;0;2;32;64;0.17227111;-0.126115
1.68131809;3848;14437;0;858;85;102;12;14;0;0;4;0;0;0;2;32;64;0.21031342;-0.116010
1.68932009;3849;14434;0;859;85;102;13;14;0;0;4;0;0;0;2;32;64;0.24835572;-0.105906
1.70131909;3849;14432;0;860;85;102;13;14;0;0;4;0;0;0;2;32;64;0.24835572;-0.105906
1.70931909;3852;14436;0;858;85;102;12;14;0;0;4;0;0;0;2;32;64;0.36248263;-0.075591
1.72131909;3852;14435;0;856;85;102;14;14;0;0;4;0;0;0;2;32;64;0.36248263;-0.075591
1.73331309;3854;14435;0;855;85;102;13;14;0;0;4;0;0;0;2;32;64;0.43856724;-0.055381
1.74131809;3855;14430;0;855;84;102;12;14;0;0;4;0;0;0;2;32;64;0.47660954;-0.045276
1.75331209;3855;14434;0;857;84;102;13;14;0;0;4;0;0;0;2;32;64;0.47660954;-0.045276
1.76131809;3856;14435;0;858;84;102;15;14;0;0;4;0;0;0;2;32;64;0.51465184;-0.035171
1.77332009;3856;14431;0;858;84;102;13;14;0;0;4;0;0;0;2;32;64;0.51465184;-0.035171
1.78131309;3856;14432;0;858;84;102;12;14;0;0;4;0;0;0;2;32;64;0.51465184;-0.035171
1.79332209;3859;14436;0;860;84;102;13;14;0;0;4;0;0;0;2;32;64;0.62877876;-0.004856
1.80131209;3856;14432;0;861;84;102;13;14;0;0;4;0;0;0;2;32;64;0.51465184;-0.035171
1.81332009;3856;14432;0;863;84;102;13;14;0;0;4;0;0;0;2;32;64;0.51465184;-0.035171
1.82132109;3857;14436;0;865;84;102;8;14;0;0;4;0;0;0;2;32;64;0.55269415;-0.025066
1.83331409;3858;14434;0;865;84;102;11;14;0;0;4;0;0;0;2;32;64;0.59073645;-0.014961
1.84132009;3857;14431;0;864;84;102;11;14;0;0;4;0;0;0;2;32;64;0.55269415;-0.025066
1.85331909;3858;14434;0;865;84;102;13;14;0;0;4;0;0;0;2;32;64;0.59073645;-0.014961
1.86132009;3860;14434;0;865;84;102;15;14;0;0;4;0;0;0;2;32;64;0.66682106;0.005249
1.87332109;3857;14431;0;865;84;102;9;14;0;0;4;0;0;0;2;32;64;0.55269415;-0.025066
1.88131409;3856;14432;0;865;84;102;10;14;0;0;4;0;0;0;2;32;64;0.51465184;-0.035171
1.89332009;3859;14434;0;865;84;102;11;14;0;0;4;0;0;0;2;32;64;0.62877876;-0.004856
1.90131309;3859;14436;0;864;84;102;10;14;0;0;4;0;0;0;2;32;64;0.62877876;-0.004856
1.91331909;3856;14430;0;864;84;102;11;14;0;0;4;0;0;0;2;32;64;0.51465184;-0.035171
1.92132209;3858;14433;0;865;83;102;11;14;0;0;4;0;0;0;2;32;64;0.59073645;-0.014961
1.93331409;3864;14436;0;865;83;102;14;14;0;0;4;0;0;0;2;32;64;0.81899027;0.045669
1.94132109;3860;14432;0;865;83;102;10;14;0;0;4;0;0;0;2;32;64;0.66682106;0.005249
1.95331309;3860;14434;0;865;83;102;13;14;0;0;4;0;0;0;2;32;64;0.66682106;0.005249
1.96131909;3864;14437;0;865;83;102;15;14;0;0;4;0;0;0;2;32;64;0.81899027;0.045669
1.97332109;3863;14432;0;866;83;102;11;14;0;0;4;0;0;0;2;32;64;0.78094797;0.035564
1.98131409;3864;14434;0;865;83;102;10;14;0;0;4;0;0;0;2;32;64;0.81899027;0.045669
1.99332009;3862;14437;0;865;83;102;13;14;0;0;4;0;0;0;2;32;64;0.74290567;0.025459
2.00131409;3866;14438;0;865;83;102;15;14;0;0;4;0;0;0;2;32;64;0.89507488;0.065879
2.01332009;3864;14431;0;865;83;102;11;14;0;0;4;0;0;0;2;32;64;0.81899027;0.045669
