Experiment parameters :
Instruction;Speed/accuracy balance
Block number;1
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.65729903;3859;14549;0;156;87;107;3;14;0;0;0;0;8;1;2;32;64;0.62877876;-0.004856
1.66930503;3847;14532;0;169;87;107;14;14;0;0;0;0;8;1;2;32;64;0.17227111;-0.126115
1.67730003;3831;14510;0;216;87;107;0;14;0;0;0;0;8;1;2;32;64;-0.43640574;-0.287795
1.68930503;3828;14499;0;278;87;107;1;14;0;0;0;0;8;1;2;32;64;-0.55053265;-0.318110
1.69730503;3833;14483;0;292;87;107;1;14;0;0;0;0;8;1;2;32;64;-0.36032114;-0.267585
1.70929703;3833;14461;0;304;88;107;1;14;0;0;0;0;8;1;2;32;64;-0.36032114;-0.267585
1.71730303;3831;14441;0;325;88;107;3;14;0;0;0;0;8;1;2;32;64;-0.43640574;-0.287795
1.72929503;3836;14423;0;348;88;107;7;14;0;0;0;0;8;1;2;32;64;-0.24619423;-0.237270
1.73730303;3835;14421;0;468;88;107;3;14;0;0;0;0;8;1;2;32;64;-0.28423653;-0.247375
1.74930303;3834;14421;0;496;88;107;0;14;0;0;0;0;8;1;2;32;64;-0.32227883;-0.257480
1.75729603;3837;14423;0;521;88;107;3;14;0;0;0;0;8;1;2;32;64;-0.20815192;-0.227165
1.76930203;3838;14421;0;546;88;107;1;14;0;0;0;0;8;1;2;32;64;-0.17010962;-0.217060
1.77729603;3837;14420;0;565;88;107;5;14;0;0;0;0;8;1;2;32;64;-0.20815192;-0.227165
1.78930303;3839;14424;0;581;87;107;4;14;0;0;0;0;8;1;2;32;64;-0.13206732;-0.206955
1.79730503;3840;14424;0;600;87;107;4;14;0;0;0;0;8;1;2;32;64;-0.09402501;-0.196850
1.80929703;3837;14421;0;619;87;106;5;14;0;0;0;0;8;0;2;32;64;-0.20815192;-0.227165
1.81730303;3837;14424;0;637;87;106;4;14;0;0;0;0;8;0;2;32;64;-0.20815192;-0.227165
1.82929603;3839;14424;0;659;87;106;5;14;0;0;0;0;8;0;2;32;64;-0.13206732;-0.206955
1.83730303;3835;14422;0;681;87;106;5;14;0;0;0;0;8;0;2;32;64;-0.28423653;-0.247375
1.84930403;3837;14421;0;694;87;106;4;14;0;0;0;0;8;0;2;32;64;-0.20815192;-0.227165
1.85730103;3839;14424;0;699;87;106;7;14;0;0;0;0;8;0;2;32;64;-0.13206732;-0.206955
