
Subject,Circular?,Block,Condition,Trial,Practice?,Metronome?,MT%,MTPred,MT,a(given),b(given),A,W,ID,axis,angle,ae(1d),dx(1d),ae(2d),dx(2d),Ae(1d),SD(1d),We(1d),IDe(1d),TP(1d),Ae(2d),SD(2d),We(2d),IDe(2d),TP(2d),MTe,MTRatio,MeanMTe,MeanMTe(sx),MeanMTe(tx),Entries,Overshoots,Error?,Errors,Errors(sx),Errors(tx),Error%,Error%(sx),Error%(tx),SpatialOutlier?,TemporalOutlier?,SpatialOutliers,TemporalOutliers,StartX,StartY,EndX,EndY,TargetX,TargetY,Travel,Duration,Submovements,MaxVelocity,MaxAcceleration,MaxJerk,tMaxVelocity,tMaxAcceleration,tMaxJerk,TAC,MDC,ODC,MV,ME,MO,N,Fitts_TP_avg(1d),Fitts_TP_inv(1d),Fitts_a(1d),Fitts_b(1d),Fitts_r(1d),Fitts_TP_avg(2d),Fitts_TP_inv(2d),Fitts_a(2d),Fitts_b(2d),Fitts_r(2d),Error_m(1d),Error_b(1d),Error_r(1d),Error_m(2d),Error_b(2d),Error_r(2d)
1,1,0,0,1,1,0,-1,-1,-1,100,200,512,128,2.3219,93.9131,98.427,518.2682,24.5947,518.5991,30.7894,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,1421,-1,765,765,765,3,2,0,0,0,0,0,0,0,0,0,0,0,1300,563,1224,1076,1245.141,1053.616,1492.4312,1419,3,2.6441,0.0785,0.0053,0.8034,0.7329,0.2607,4,6,3,27.4066,20.4421,-7.4234,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,2,1,0,-1,-1,-1,100,200,512,128,2.3219,281.7392,286.2692,509.8271,-27.4395,510.44,37.1248,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,1076,-1,765,765,765,2,1,0,0,0,0,0,0,0,0,0,0,0,1224,1076,1367,586,1349.068,553.4932,897.7728,1066,3,3.1756,0.0809,0.0103,0.3377,0.2814,0.2814,0,2,1,5.0434,14.0315,14.0315,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,3,1,0,-1,-1,-1,100,200,512,128,2.3219,109.5653,112.0219,530.6677,43.6929,530.7212,44.3385,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,670,-1,765,765,765,1,0,0,0,0,0,0,0,0,0,0,0,0,1367,586,1168,1078,1178.009,1034.806,554.8715,650,1,2.3769,0.0591,0.0089,0.3846,0.3077,0.3077,1,2,1,13.3668,15.3907,-13.5337,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,4,0,0,-1,-1,-1,100,200,512,128,2.3219,297.3913,297.0804,546.9075,-6.9637,546.9643,10.5165,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,577,-1,765,765,765,1,0,0,0,0,0,0,0,0,0,0,0,0,1168,1078,1417,591,1413.013,581.2686,569.6338,569,1,2.5554,0.0499,0.0083,0.3163,0.1406,0.5097,1,1,1,3.3987,4.0078,2.8634,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,5,0,0,-1,-1,-1,100,200,512,128,2.3219,125.2173,128.1183,495.4465,-9.7861,495.7177,19.0922,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,800,-1,765,765,765,1,0,0,0,0,0,0,0,0,0,0,0,0,1417,591,1111,981,1118.442,998.5821,660.1493,777,2,2.3556,0.0532,0.0078,0.296,0.1287,0.2831,1,1,1,34.223,47.8023,-45.5029,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,6,0,0,-1,-1,-1,100,200,512,128,2.3219,313.0434,315.078,519.7238,16.3856,519.724,16.3916,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,526,-1,765,765,765,1,0,0,0,0,0,0,0,0,0,0,0,0,1111,981,1479,614,1467.094,625.2664,552.2377,514,1,2.6214,0.0701,0.0097,0.3696,0.1751,0.1751,0,1,1,9.3102,19.0675,-19.0675,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,7,0,0,-1,-1,-1,100,200,512,128,2.3219,140.8696,142.1343,540.7207,13.5674,540.8817,18.9263,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,624,-1,765,765,765,1,0,0,0,0,0,0,0,0,0,0,0,0,1479,614,1052,946,1070.856,947.6301,550.7484,614,1,2.0423,0.0428,0.0045,0.456,0.5863,0.5863,1,2,0,12.1639,11.0471,-2.1256,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,8,0,0,-1,-1,-1,100,200,512,128,2.3219,328.6957,332.2096,501.4858,-24.7036,501.8884,31.8483,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,624,-1,765,765,765,1,0,0,0,0,0,0,0,0,0,0,0,0,1052,946,1496,712,1507.299,682.2233,524.1798,623,2,2.3074,0.0268,0.0039,0.3371,0.1284,0.4815,0,1,1,7.618,13.8228,13.8228,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,9,0,0,-1,-1,-1,100,200,512,128,2.3219,156.5218,162.9586,480.087,-9.0255,481.1247,32.8471,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,724,-1,765,765,765,1,0,0,0,0,0,0,0,0,0,0,0,0,1496,712,1036,853,1038.781,885.7292,491.1507,695,1,1.7497,0.0527,0.0062,0.3165,0.1295,0.2734,2,2,0,14.1696,13.1806,10.0134,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,10,0,0,-1,-1,-1,100,200,512,128,2.3219,344.3478,347.409,499.9979,-5.6873,500.025,7.7135,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,617,-1,765,765,765,1,0,0,0,0,0,0,0,0,0,0,0,0,1036,853,1524,744,1530.646,747.9153,515.4172,606,1,8.3297,0.8212,0.0821,0.231,0.231,0.231,0,4,1,1.9099,5.3795,-5.3795,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,11,0,0,-1,-1,-1,100,200,512,128,2.3219,172.1739,175.4078,498.5188,-6.2595,499.6038,33.4994,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,655,-1,765,765,765,1,0,0,0,0,0,0,0,0,0,0,0,0,1524,744,1026,784,1024.597,817.47,506.6038,633,1,1.8467,0.0432,0.0038,0.2686,0.1738,0.4739,2,2,0,14.9664,16.0084,14.8751,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,12,0,0,-1,-1,-1,100,200,512,128,2.3219,0,5.2483,480.8541,-29.6472,481.0166,32.1749,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,627,-1,765,765,765,1,0,0,0,0,0,0,0,0,0,0,0,0,1026,784,1505,828,1535.403,817.47,486.9133,623,1,1.844,0.0445,0.005,0.2889,0.1605,0.1605,0,2,0,2.4967,6.0568,6.0568,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,13,0,0,-1,-1,-1,100,200,512,128,2.3219,187.8261,193.1153,497.03,14.6892,497.99,34.2186,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,574,-1,765,765,765,1,0,0,0,0,0,0,0,0,0,0,0,0,1505,828,1020,715,1029.354,747.9153,558.495,551,1,2.1007,0.0273,0.0027,0.3811,0.0181,0.0181,1,1,1,12.5317,10.0919,1.7526,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,14,0,0,-1,-1,-1,100,200,512,128,2.3219,15.6522,20.5684,543.4003,13.9015,543.6561,21.7129,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,594,-1,765,765,765,1,0,0,0,0,0,0,0,0,0,0,0,0,1020,715,1529,906,1521.219,885.7292,562.4855,586,1,2.1887,0.0651,0.0078,0.4266,0.3242,0.3242,1,2,1,6.2423,10.5349,10.4846,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,15,0,0,-1,-1,-1,100,200,512,128,2.3219,203.4782,211.2967,528.2723,2.0245,531.3116,56.7848,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,2215,-1,765,765,765,4,0,0,0,0,0,0,0,0,0,0,0,0,1529,906,1075,630,1052.701,682.2233,1893.9991,2205,7,2.3215,0.0501,0.0062,0.1043,0.059,0.0862,5,5,4,28.1208,26.9203,15.253,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
1,1,0,0,16,0,0,-1,-1,-1,100,200,512,128,2.3219,31.3043,40.0914,487.0667,-34.8568,487.5705,41.3039,509.3591,18.3784,75.9577,2.9459,3.8509,509.8176,26.4246,109.213,2.5029,3.2717,1015,-1,765,765,765,1,0,0,0,0,0,0,0,0,0,0,0,0,1075,630,1448,944,1489.144,947.6301,648.6973,995,2,2.1999,0.0438,0.0049,0.4422,0.4322,0.4221,0,3,2,25.905,29.9912,29.9912,12,3.6785,3.8298,45.5326,261.1105,0.8856,3.2835,3.6069,88.837,277.2491,0.8785,0,0,NaN,0,0,NaN
