
Subject,Circular?,Block,Condition,Trial,Practice?,Metronome?,MT%,MTPred,MT,a(given),b(given),A,W,ID,axis,angle,ae(1d),dx(1d),ae(2d),dx(2d),Ae(1d),SD(1d),We(1d),IDe(1d),TP(1d),Ae(2d),SD(2d),We(2d),IDe(2d),TP(2d),MTe,MTRatio,MeanMTe,MeanMTe(sx),MeanMTe(tx),Entries,Overshoots,Error?,Errors,Errors(sx),Errors(tx),Error%,Error%(sx),Error%(tx),SpatialOutlier?,TemporalOutlier?,SpatialOutliers,TemporalOutliers,StartX,StartY,EndX,EndY,TargetX,TargetY,Travel,Duration,Submovements,MaxVelocity,MaxAcceleration,MaxJerk,tMaxVelocity,tMaxAcceleration,tMaxJerk,TAC,MDC,ODC,MV,ME,MO,N,Fitts_TP_avg(1d),Fitts_TP_inv(1d),Fitts_a(1d),Fitts_b(1d),Fitts_r(1d),Fitts_TP_avg(2d),Fitts_TP_inv(2d),Fitts_a(2d),Fitts_b(2d),Fitts_r(2d),Error_m(1d),Error_b(1d),Error_r(1d),Error_m(2d),Error_b(2d),Error_r(2d)
1,1,0,0,1,1,0,-1,-1,-1,100,200,1024,64,4.0875,93.913,92.7982,1024.1958,2.0719,1024.2212,7.4947,1020.3527,11.93,49.3065,4.4392,2.9694,1020.4412,18.235,75.3654,3.8619,2.5832,2060,-1,1495,1495,1495,2,1,0,0,0,0,0,0,0,0,0,0,0,1253,286,1203,1309,1210.283,1307.231,1476.1501,2044,4,3.6241,0.0777,0.0131,0.2202,0.2006,0.2446,4,3,3,62.7357,51.6054,48.5367,12,2.987,2.1812,-378.3061,458.4594,0.8669,2.5889,2.1276,-213.9892,470.0172,0.858,0,0,NaN,0,0,NaN
1,1,0,0,2,1,0,-1,-1,-1,100,200,1024,64,4.0875,281.7391,281.8772,1030.0433,5.1947,1030.0524,6.7581,1020.3527,11.93,49.3065,4.4392,2.9694,1020.4412,18.235,75.3654,3.8619,2.5832,2076,-1,1495,1495,1495,2,2,0,0,0,0,0,0,0,0,0,0,0,1203,1309,1415,301,1418.136,306.9864,1508.814,2004,3,3.4962,0.0684,0.0094,0.1647,0.1347,0.1747,2,3,2,50.1393,39.6159,20.5782,12,2.987,2.1812,-378.3061,458.4594,0.8669,2.5889,2.1276,-213.9892,470.0172,0.858,0,0,NaN,0,0,NaN
1,1,0,0,3,1,0,-1,-1,-1,100,200,1024,64,4.0875,109.5652,109.1304,1016.1108,-10.1042,1016.1147,10.4852,1020.3527,11.93,49.3065,4.4392,2.9694,1020.4412,18.235,75.3654,3.8619,2.5832,1840,-1,1495,1495,1495,1,0,0,0,0,0,0,0,0,0,0,0,0,1415,301,1082,1261,1076.019,1269.612,1233.6134,1831,3,2.4321,0.0792,0.01,0.3277,0.3058,0.3058,0,3,2,67.5308,70.3579,70.3579,12,2.987,2.1812,-378.3061,458.4594,0.8669,2.5889,2.1276,-213.9892,470.0172,0.858,0,0,NaN,0,0,NaN
1,1,0,0,4,0,0,-1,-1,-1,100,200,1024,64,4.0875,297.3913,296.3605,1002.0731,-9.1422,1002.2121,19.0326,1020.3527,11.93,49.3065,4.4392,2.9694,1020.4412,18.235,75.3654,3.8619,2.5832,1410,-1,1495,1495,1495,2,1,0,0,0,0,0,0,0,0,0,0,0,1082,1261,1527,363,1546.027,362.5373,1292.5312,1379,2,3.1714,0.1511,0.0147,0.2611,0.4714,0.4714,2,4,1,26.8015,21.872,0.9108,12,2.987,2.1812,-378.3061,458.4594,0.8669,2.5889,2.1276,-213.9892,470.0172,0.858,0,0,NaN,0,0,NaN
1,1,0,0,5,0,0,-1,-1,-1,100,200,1024,64,4.0875,125.2174,125.0292,1008.6498,-1.7278,1008.7205,12.0646,1020.3527,11.93,49.3065,4.4392,2.9694,1020.4412,18.235,75.3654,3.8619,2.5832,1402,-1,1495,1495,1495,1,0,0,0,0,0,0,0,0,0,0,0,0,1527,363,948,1189,956.8829,1197.164,1104.5729,1378,3,4.6919,0.3562,0.0356,0.3774,0.3774,0.3774,0,5,1,21.2968,36.0721,36.0721,12,2.987,2.1812,-378.3061,458.4594,0.8669,2.5889,2.1276,-213.9892,470.0172,0.858,0,0,NaN,0,0,NaN
1,1,0,0,6,0,0,-1,-1,-1,100,200,1024,64,4.0875,313.0435,312.7157,1028.793,7.0125,1028.9509,19.3505,1020.3527,11.93,49.3065,4.4392,2.9694,1020.4412,18.235,75.3654,3.8619,2.5832,2601,-1,1495,1495,1495,2,2,0,0,0,0,0,0,0,0,0,0,0,948,1189,1646,433,1654.188,450.5328,1552.7002,2591,6,4.3425,0.1774,0.0183,0.1042,0.1003,0.1003,2,7,2,20.1303,27.6697,-23.4481,12,2.987,2.1812,-378.3061,458.4594,0.8669,2.5889,2.1276,-213.9892,470.0172,0.858,0,0,NaN,0,0,NaN
1,1,0,0,7,0,0,-1,-1,-1,100,200,1024,64,4.0875,140.8696,140.5902,1037.9265,11.4291,1038.0197,18.0089,1020.3527,11.93,49.3065,4.4392,2.9694,1020.4412,18.235,75.3654,3.8619,2.5832,1357,-1,1495,1495,1495,1,0,0,0,0,0,0,0,0,0,0,0,0,1646,433,844,1092,861.7114,1095.26,1089.964,1352,2,3.6539,0.2735,0.0314,0.3772,0.3772,0.3772,2,4,1,19.3616,30.4503,29.7007,12,2.987,2.1812,-378.3061,458.4594,0.8669,2.5889,2.1276,-213.9892,470.0172,0.858,0,0,NaN,0,0,NaN
1,1,0,0,8,0,0,-1,-1,-1,100,200,1024,64,4.0875,328.6957,328.0714,1028.363,-6.7581,1028.6229,24.0863,1020.3527,11.93,49.3065,4.4392,2.9694,1020.4412,18.235,75.3654,3.8619,2.5832,2000,-1,1495,1495,1495,2,1,0,0,0,0,0,0,0,0,0,0,0,844,1092,1717,548,1734.597,564.4467,1223.4955,1986,5,2.7512,0.083,0.0077,0.1611,0.1611,0.3323,4,4,1,24.304,27.4232,-18.5057,12,2.987,2.1812,-378.3061,458.4594,0.8669,2.5889,2.1276,-213.9892,470.0172,0.858,0,0,NaN,0,0,NaN
1,1,0,0,9,0,0,-1,-1,-1,100,200,1024,64,4.0875,156.5217,156.7421,1015.1898,2.9237,1015.5245,26.2358,1020.3527,11.93,49.3065,4.4392,2.9694,1020.4412,18.235,75.3654,3.8619,2.5832,1745,-1,1495,1495,1495,1,0,0,0,0,0,0,0,0,0,0,0,0,1717,548,784,949,797.5624,971.4584,1048.13,1717,3,2.3376,0.0563,0.0065,0.3029,0.3378,0.3669,0,5,1,18.6171,36.3677,36.3677,12,2.987,2.1812,-378.3061,458.4594,0.8669,2.5889,2.1276,-213.9892,470.0172,0.858,0,0,NaN,0,0,NaN
1,1,0,0,10,0,0,-1,-1,-1,100,200,1024,64,4.0875,344.3478,346.8215,1004.2789,-24.6449,1004.4526,30.9242,1020.3527,11.93,49.3065,4.4392,2.9694,1020.4412,18.235,75.3654,3.8619,2.5832,1253,-1,1495,1495,1495,1,0,0,0,0,0,0,0,0,0,0,0,0,784,949,1762,720,1781.291,695.8305,1060.2493,1196,2,2.7956,0.0654,0.0106,0.2007,0.2341,0.2341,1,1,0,31.8708,36.4711,-32.6605,12,2.987,2.1812,-378.3061,458.4594,0.8669,2.5889,2.1276,-213.9892,470.0172,0.858,0,0,NaN,0,0,NaN
