Subject,Circular?,Block,Condition,Trial,Practice?,Metronome?,MT%,MTPred,MT,a(given),b(given),A,W,ID,axis,angle,ae(1d),dx(1d),ae(2d),dx(2d),Ae(1d),SD(1d),We(1d),IDe(1d),TP(1d),Ae(2d),SD(2d),We(2d),IDe(2d),TP(2d),MTe,MTRatio,MeanMTe,MeanMTe(sx),MeanMTe(tx),Entries,Overshoots,Error?,Errors,Errors(sx),Errors(tx),Error%,Error%(sx),Error%(tx),SpatialOutlier?,TemporalOutlier?,SpatialOutliers,TemporalOutliers,StartX,StartY,EndX,EndY,TargetX,TargetY,Travel,Duration,Submovements,MaxVelocity,MaxAcceleration,MaxJerk,tMaxVelocity,tMaxAcceleration,tMaxJerk,TAC,MDC,ODC,MV,ME,MO,N,Fitts_TP_avg(1d),Fitts_TP_inv(1d),Fitts_a(1d),Fitts_b(1d),Fitts_r(1d),Fitts_TP_avg(2d),Fitts_TP_inv(2d),Fitts_a(2d),Fitts_b(2d),Fitts_r(2d),Error_m(1d),Error_b(1d),Error_r(1d),Error_m(2d),Error_b(2d),Error_r(2d)
6,1,0,0,1,1,0,-1,-1,-1,100,200,1408,96,3.9696,93.913,92.2433,1405.0763,-14.506,1405.0769,14.5624,1410.1882,15.2365,62.9723,4.5481,3.7097,1410.2868,22.2114,91.7999,4.0323,3.289,7661,-1,1226,1226,1226,2,1,0,0,0,0,0,0,0,0,0,0,0,1241,79,1186,1483,1184.139,1497.443,6319.575,6165,25,6.1175,0.1972,0.0237,0.5921,0.4217,0.4217,1,10,9,371.9611,409.561,-406.9335,12,3.6541,4.2593,127.2633,234.7792,0.9399,3.2735,3.6172,86.0997,276.4536,0.9509,0,0,NaN,0,0,NaN
6,1,0,0,2,1,0,-1,-1,-1,100,200,1408,96,3.9696,281.7391,280.6096,1395.569,5.3704,1395.8628,29.1368,1410.1882,15.2365,62.9723,4.5481,3.7097,1410.2868,22.2114,91.7999,4.0323,3.289,1357,-1,1226,1226,1226,1,1,0,0,0,0,0,0,0,0,0,0,0,1186,1483,1443,111,1469.937,122.1062,1722.294,1346,3,5.9972,0.1056,0.0134,0.2155,0.7504,0.2749,2,3,1,66.246,57.0477,26.7786,12,3.6541,4.2593,127.2633,234.7792,0.9399,3.2735,3.6172,86.0997,276.4536,0.9509,0,0,NaN,0,0,NaN
6,1,0,0,3,1,0,-1,-1,-1,100,200,1408,96,3.9696,109.5652,108.3961,1397.4108,-9.0526,1397.4108,9.0614,1410.1882,15.2365,62.9723,4.5481,3.7097,1410.2868,22.2114,91.7999,4.0323,3.289,1092,-1,1226,1226,1226,2,1,0,0,0,0,0,0,0,0,0,0,0,1443,111,1002,1437,999.5256,1445.717,1759.4853,1085,2,6.0076,0.0929,0.0129,0.2949,0.2949,0.3963,2,3,1,35.0666,33.5142,-33.3092,12,3.6541,4.2593,127.2633,234.7792,0.9399,3.2735,3.6172,86.0997,276.4536,0.9509,0,0,NaN,0,0,NaN
6,1,0,0,4,0,0,-1,-1,-1,100,200,1408,96,3.9696,297.3913,297.2699,1381.5392,-14.3016,1381.5473,15.0614,1410.1882,15.2365,62.9723,4.5481,3.7097,1410.2868,22.2114,91.7999,4.0323,3.289,967,-1,1226,1226,1226,2,0,0,0,0,0,0,0,0,0,0,0,0,1002,1437,1635,209,1645.787,198.4888,1533.0812,930,2,6.4949,0.1618,0.0183,0.2366,0.129,0.129,4,4,1,15.2799,12.4104,8.3994,12,3.6541,4.2593,127.2633,234.7792,0.9399,3.2735,3.6172,86.0997,276.4536,0.9509,0,0,NaN,0,0,NaN
6,1,0,0,5,0,0,-1,-1,-1,100,200,1408,96,3.9696,125.2174,123.9416,1389.5287,-0.3837,1389.8147,28.196,1410.1882,15.2365,62.9723,4.5481,3.7097,1410.2868,22.2114,91.7999,4.0323,3.289,940,-1,1226,1226,1226,1,1,0,0,0,0,0,0,0,0,0,0,0,1635,209,859,1362,835.7141,1346.101,1620.0854,914,2,6.9642,0.1361,0.026,0.2954,0.3392,0.3392,3,4,1,33.2342,28.2185,15.4304,12,3.6541,4.2593,127.2633,234.7792,0.9399,3.2735,3.6172,86.0997,276.4536,0.9509,0,0,NaN,0,0,NaN
6,1,0,0,6,0,0,-1,-1,-1,100,200,1408,96,3.9696,313.0435,311.8913,1421.2548,20.5336,1421.2547,20.5358,1410.1882,15.2365,62.9723,4.5481,3.7097,1410.2868,22.2114,91.7999,4.0323,3.289,1244,-1,1226,1226,1226,2,0,0,0,0,0,0,0,0,0,0,0,0,859,1362,1808,304,1794.509,319.4826,1576.9439,1228,2,6.0451,0.0972,0.0107,0.2769,0.2117,0.2687,2,5,2,34.7537,30.948,-7.9036,12,3.6541,4.2593,127.2633,234.7792,0.9399,3.2735,3.6172,86.0997,276.4536,0.9509,0,0,NaN,0,0,NaN
6,1,0,0,7,0,0,-1,-1,-1,100,200,1408,96,3.9696,140.8696,141.8203,1434.7146,9.7563,1434.9749,29.0202,1410.1882,15.2365,62.9723,4.5481,3.7097,1410.2868,22.2114,91.7999,4.0323,3.289,1216,-1,1226,1226,1226,2,0,0,0,0,0,0,0,0,0,0,0,0,1808,304,680,1191,704.8532,1205.983,1619.8394,1210,2,5.8782,0.3221,0.0322,0.1653,0.8017,0.8017,2,2,2,66.6333,55.3208,-4.0881,12,3.6541,4.2593,127.2633,234.7792,0.9399,3.2735,3.6172,86.0997,276.4536,0.9509,0,0,NaN,0,0,NaN
6,1,0,0,8,0,0,-1,-1,-1,100,200,1408,96,3.9696,328.6956,329.311,1430.2755,11.8748,1430.3147,15.8976,1410.1882,15.2365,62.9723,4.5481,3.7097,1410.2868,22.2114,91.7999,4.0323,3.289,1611,-1,1226,1226,1226,2,0,0,0,0,0,0,0,0,0,0,0,0,680,1191,1910,461,1905.071,476.1142,1701.5827,1600,3,4.9793,0.0605,0.0098,0.3375,0.2937,0.3938,3,3,4,27.4272,27.6301,22.6571,12,3.6541,4.2593,127.2633,234.7792,0.9399,3.2735,3.6172,86.0997,276.4536,0.9509,0,0,NaN,0,0,NaN
6,1,0,0,9,0,0,-1,-1,-1,100,200,1408,96,3.9696,156.5217,157.3206,1405.342,-9.9678,1405.6931,32.9576,1410.1882,15.2365,62.9723,4.5481,3.7097,1410.2868,22.2114,91.7999,4.0323,3.289,1120,-1,1226,1226,1226,1,0,0,0,0,0,0,0,0,0,0,0,0,1910,461,613,1003,616.6483,1035.755,1588.3946,1102,2,6.6892,0.1137,0.0162,0.2632,0.0998,0.2541,2,2,2,59.0611,53.9803,-37.2161,12,3.6541,4.2593,127.2633,234.7792,0.9399,3.2735,3.6172,86.0997,276.4536,0.9509,0,0,NaN,0,0,NaN
6,1,0,0,10,0,0,-1,-1,-1,100,200,1408,96,3.9696,344.3478,346.4033,1390.8717,-8.8994,1390.9827,19.7024,1410.1882,15.2365,62.9723,4.5481,3.7097,1410.2868,22.2114,91.7999,4.0323,3.289,1219,-1,1226,1226,1226,2,0,0,0,0,0,0,0,0,0,0,0,0,613,1003,1965,676,1969.275,656.767,1464.9114,1184,3,5.6815,0.0682,0.0137,0.2365,0.1774,0.3294,3,3,2,20.3096,18.5832,14.9854,12,3.6541,4.2593,127.2633,234.7792,0.9399,3.2735,3.6172,86.0997,276.4536,0.9509,0,0,NaN,0,0,NaN
