Subject,Circular?,Block,Condition,Trial,Practice?,Metronome?,MT%,MTPred,MT,a(given),b(given),A,W,ID,axis,angle,ae(1d),dx(1d),ae(2d),dx(2d),Ae(1d),SD(1d),We(1d),IDe(1d),TP(1d),Ae(2d),SD(2d),We(2d),IDe(2d),TP(2d),MTe,MTRatio,MeanMTe,MeanMTe(sx),MeanMTe(tx),Entries,Overshoots,Error?,Errors,Errors(sx),Errors(tx),Error%,Error%(sx),Error%(tx),SpatialOutlier?,TemporalOutlier?,SpatialOutliers,TemporalOutliers,StartX,StartY,EndX,EndY,TargetX,TargetY,Travel,Duration,Submovements,MaxVelocity,MaxAcceleration,MaxJerk,tMaxVelocity,tMaxAcceleration,tMaxJerk,TAC,MDC,ODC,MV,ME,MO,N,Fitts_TP_avg(1d),Fitts_TP_inv(1d),Fitts_a(1d),Fitts_b(1d),Fitts_r(1d),Fitts_TP_avg(2d),Fitts_TP_inv(2d),Fitts_a(2d),Fitts_b(2d),Fitts_r(2d),Error_m(1d),Error_b(1d),Error_r(1d),Error_m(2d),Error_b(2d),Error_r(2d)
10,1,0,0,1,1,0,-1,-1,-1,100,200,256,64,2.3219,93.913,90,240.8439,-21.1337,241,22.8445,249.5067,14.4521,59.7305,2.3722,1.9492,249.728,17.9887,74.3474,2.124,1.7453,1841,-1,1217,1217,1217,3,2,0,0,0,0,0,0,0,0,0,0,0,1272,665,1272,906,1262.571,926.8078,857.2411,1823,4,2.7756,0.0712,0.0076,0.1536,0.0933,0.3511,5,8,3,9.6015,7.5427,-2.6506,12,2.9303,2.8854,17.591,346.5732,0.8496,2.5301,2.5665,45.641,389.6348,0.8693,0,0,NaN,0,0,NaN
10,1,0,0,2,1,0,-1,-1,-1,100,200,256,64,2.3219,281.7391,280.4915,247.1316,13.9658,247.1315,13.966,249.5067,14.4521,59.7305,2.3722,1.9492,249.728,17.9887,74.3474,2.124,1.7453,1514,-1,1217,1217,1217,1,0,0,0,0,0,0,0,0,0,0,0,0,1272,906,1317,663,1314.534,676.7466,423.9892,1501,6,0.903,0.0425,0.0049,0.4997,0.493,0.3198,2,4,2,19.7008,16.4323,1.8787,12,2.9303,2.8854,17.591,346.5732,0.8496,2.5301,2.5665,45.641,389.6348,0.8693,0,0,NaN,0,0,NaN
10,1,0,0,3,1,0,-1,-1,-1,100,200,256,64,2.3219,109.5652,109.5108,269.466,0.2745,269.4736,2.0451,249.5067,14.4521,59.7305,2.3722,1.9492,249.728,17.9887,74.3474,2.124,1.7453,1326,-1,1217,1217,1217,1,0,0,0,0,0,0,0,0,0,0,0,0,1317,663,1227,917,1229.005,917.4031,315.9336,1302,4,1.0529,0.0503,0.0046,0.3379,0.3303,0.384,2,6,0,8.0812,10.2808,10.0937,12,2.9303,2.8854,17.591,346.5732,0.8496,2.5301,2.5665,45.641,389.6348,0.8693,0,0,NaN,0,0,NaN
10,1,0,0,4,0,0,-1,-1,-1,100,200,256,64,2.3219,297.3913,300.7627,244.0673,-11.9081,244.387,17.263,249.5067,14.4521,59.7305,2.3722,1.9492,249.728,17.9887,74.3474,2.124,1.7453,1295,-1,1217,1217,1217,1,0,0,0,0,0,0,0,0,0,0,0,0,1227,917,1352,707,1346.507,690.6343,347.6828,1283,4,1.0444,0.0611,0.0056,0.5924,0.6625,0.6625,3,4,3,9.2029,8.7069,4.2256,12,2.9303,2.8854,17.591,346.5732,0.8496,2.5301,2.5665,45.641,389.6348,0.8693,0,0,NaN,0,0,NaN
10,1,0,0,5,0,0,-1,-1,-1,100,200,256,64,2.3219,125.2174,127.9131,263.6314,18.0356,263.6437,18.2153,249.5067,14.4521,59.7305,2.3722,1.9492,249.728,17.9887,74.3474,2.124,1.7453,1014,-1,1217,1217,1217,2,1,0,0,0,0,0,0,0,0,0,0,0,1352,707,1190,915,1199.221,899.291,435.1601,994,2,2.4954,0.0976,0.0101,0.2515,0.2414,0.2414,2,3,4,7.652,6.3389,-0.0934,12,2.9303,2.8854,17.591,346.5732,0.8496,2.5301,2.5665,45.641,389.6348,0.8693,0,0,NaN,0,0,NaN
10,1,0,0,6,0,0,-1,-1,-1,100,200,256,64,2.3219,313.0434,307.8562,266.4691,-6.7374,267.2396,21.3686,249.5067,14.4521,59.7305,2.3722,1.9492,249.728,17.9887,74.3474,2.124,1.7453,733,-1,1217,1217,1217,1,0,0,0,0,0,0,0,0,0,0,0,0,1190,915,1354,704,1373.547,712.6332,327.7982,713,2,1.7459,0.1058,0.0132,0.4488,0.5189,0.5189,0,1,1,9.5088,21.899,-21.899,12,2.9303,2.8854,17.591,346.5732,0.8496,2.5301,2.5665,45.641,389.6348,0.8693,0,0,NaN,0,0,NaN
10,1,0,0,7,0,0,-1,-1,-1,100,200,256,64,2.3219,140.8695,136.1624,243.9992,-2.4255,244.002,2.6981,249.5067,14.4521,59.7305,2.3722,1.9492,249.728,17.9887,74.3474,2.124,1.7453,1638,-1,1217,1217,1217,1,0,0,0,0,0,0,0,0,0,0,0,0,1354,704,1178,873,1175.428,873.8151,399.9008,1618,5,2.1842,0.082,0.0075,0.241,0.2349,0.2349,2,6,2,8.0606,11.203,10.7927,12,2.9303,2.8854,17.591,346.5732,0.8496,2.5301,2.5665,45.641,389.6348,0.8693,0,0,NaN,0,0,NaN
10,1,0,0,8,0,0,-1,-1,-1,100,200,256,64,2.3219,328.6956,332.3156,251.2858,-1.4968,251.8293,16.6042,249.5067,14.4521,59.7305,2.3722,1.9492,249.728,17.9887,74.3474,2.124,1.7453,1451,-1,1217,1217,1217,3,0,0,0,0,0,0,0,0,0,0,0,0,1178,873,1401,756,1393.649,741.1117,324.5667,1443,3,1.4481,0.0749,0.0077,0.2079,0.1871,0.1871,1,4,2,10.923,11.732,-10.2502,12,2.9303,2.8854,17.591,346.5732,0.8496,2.5301,2.5665,45.641,389.6348,0.8693,0,0,NaN,0,0,NaN
10,1,0,0,9,0,0,-1,-1,-1,100,200,256,64,2.3219,156.5217,156.4253,239.5056,-17.244,240.0333,23.4607,249.5067,14.4521,59.7305,2.3722,1.9492,249.728,17.9887,74.3474,2.124,1.7453,1014,-1,1217,1217,1217,1,0,0,0,0,0,0,0,0,0,0,0,0,1401,756,1181,852,1159.391,842.8646,301.672,993,3,1.0203,0.0273,0.0034,0.3625,0.3122,0.4129,1,3,2,13.4431,11.4258,2.678,12,2.9303,2.8854,17.591,346.5732,0.8496,2.5301,2.5665,45.641,389.6348,0.8693,0,0,NaN,0,0,NaN
10,1,0,0,10,0,0,-1,-1,-1,100,200,256,64,2.3219,344.3478,337.843,209.1862,-28.3247,209.4684,30.3381,249.5067,14.4521,59.7305,2.3722,1.9492,249.728,17.9887,74.3474,2.124,1.7453,812,-1,1217,1217,1217,1,0,0,0,0,0,0,0,0,0,0,0,0,1181,852,1375,773,1405.323,773.9576,250.3354,796,3,1.6465,0.0536,0.004,0.5276,0.5025,0.5528,0,3,1,3.1737,12.1406,-12.1406,12,2.9303,2.8854,17.591,346.5732,0.8496,2.5301,2.5665,45.641,389.6348,0.8693,0,0,NaN,0,0,NaN
