
Subject,Circular?,Block,Condition,Trial,Practice?,Metronome?,MT%,MTPred,MT,a(given),b(given),A,W,ID,axis,angle,ae(1d),dx(1d),ae(2d),dx(2d),Ae(1d),SD(1d),We(1d),IDe(1d),TP(1d),Ae(2d),SD(2d),We(2d),IDe(2d),TP(2d),MTe,MTRatio,MeanMTe,MeanMTe(sx),MeanMTe(tx),Entries,Overshoots,Error?,Errors,Errors(sx),Errors(tx),Error%,Error%(sx),Error%(tx),SpatialOutlier?,TemporalOutlier?,SpatialOutliers,TemporalOutliers,StartX,StartY,EndX,EndY,TargetX,TargetY,Travel,Duration,Submovements,MaxVelocity,MaxAcceleration,MaxJerk,tMaxVelocity,tMaxAcceleration,tMaxJerk,TAC,MDC,ODC,MV,ME,MO,N,Fitts_TP_avg(1d),Fitts_TP_inv(1d),Fitts_a(1d),Fitts_b(1d),Fitts_r(1d),Fitts_TP_avg(2d),Fitts_TP_inv(2d),Fitts_a(2d),Fitts_b(2d),Fitts_r(2d),Error_m(1d),Error_b(1d),Error_r(1d),Error_m(2d),Error_b(2d),Error_r(2d)
1,1,0,0,1,1,0,-1,-1,-1,100,200,1408,96,3.9696,93.913,94.8742,1376.9418,-7.4186,1376.9797,12.6282,1413.3546,15.1655,62.6791,4.5576,3.2694,1413.5167,25.8233,106.7277,3.8323,2.7491,1918,-1,1394,1394,1394,1,0,0,0,0,0,0,0,0,0,0,0,0,1312,119,1195,1491,1184.139,1497.443,1613.2981,1906,5,2.9743,0.1045,0.0168,0.6139,0.8552,0.5981,4,7,2,11.6639,12.6274,9.4253,12,3.1815,4.5116,305.1605,221.6524,0.8381,2.7842,3.7569,267.4455,266.1783,0.8649,0,0,NaN,0,0,NaN
1,1,0,0,2,1,0,-1,-1,-1,100,200,1408,96,3.9696,281.7391,281.7444,1370.6637,-25.5671,1370.6951,27.199,1413.3546,15.1655,62.6791,4.5576,3.2694,1413.5167,25.8233,106.7277,3.8323,2.7491,1746,-1,1394,1394,1394,2,0,0,0,0,0,0,0,0,0,0,0,0,1195,1491,1474,149,1469.937,122.1062,1768.6184,1735,4,7.3663,0.6049,0.0671,0.2133,0.2133,0.2133,1,4,3,63.223,67.3829,63.0404,12,3.1815,4.5116,305.1605,221.6524,0.8381,2.7842,3.7569,267.4455,266.1783,0.8649,0,0,NaN,0,0,NaN
1,1,0,0,3,1,0,-1,-1,-1,100,200,1408,96,3.9696,109.5652,111.2987,1354.2164,-26.5808,1354.5139,38.8898,1413.3546,15.1655,62.6791,4.5576,3.2694,1413.5167,25.8233,106.7277,3.8323,2.7491,1607,-1,1394,1394,1394,1,0,0,0,0,0,0,0,0,0,0,0,0,1474,149,982,1411,999.5256,1445.717,1469.2522,1599,5,5.2554,0.1798,0.0267,0.3064,0.3064,0.3064,0,7,1,26.5265,44.8719,44.8719,12,3.1815,4.5116,305.1605,221.6524,0.8381,2.7842,3.7569,267.4455,266.1783,0.8649,0,0,NaN,0,0,NaN
1,1,0,0,4,0,0,-1,-1,-1,100,200,1408,96,3.9696,297.3913,300.4219,1395.6008,13.2852,1396.2324,44.0432,1413.3546,15.1655,62.6791,4.5576,3.2694,1413.5167,25.8233,106.7277,3.8323,2.7491,1279,-1,1394,1394,1394,1,1,0,0,0,0,0,0,0,0,0,0,0,982,1411,1689,207,1645.787,198.4888,1687.7789,1257,1,5.2019,0.0767,0.0137,0.358,0.3819,0.3739,0,4,2,29.8618,48.0778,48.0778,12,3.1815,4.5116,305.1605,221.6524,0.8381,2.7842,3.7569,267.4455,266.1783,0.8649,0,0,NaN,0,0,NaN
1,1,0,0,5,0,0,-1,-1,-1,100,200,1408,96,3.9696,125.2174,126.7907,1446.001,22.7484,1446.0014,22.7777,1413.3546,15.1655,62.6791,4.5576,3.2694,1413.5167,25.8233,106.7277,3.8323,2.7491,1607,-1,1394,1394,1394,1,0,0,0,0,0,0,0,0,0,0,0,0,1689,207,823,1365,835.7141,1346.101,1518.511,1586,3,5.0625,0.1295,0.0108,0.2711,0.2522,0.3405,2,5,0,19.4512,21.2951,20.2125,12,3.1815,4.5116,305.1605,221.6524,0.8381,2.7842,3.7569,267.4455,266.1783,0.8649,0,0,NaN,0,0,NaN
1,1,0,0,6,0,0,-1,-1,-1,100,200,1408,96,3.9696,313.0435,313.336,1436.6979,9.485,1436.7397,14.5002,1413.3546,15.1655,62.6791,4.5576,3.2694,1413.5167,25.8233,106.7277,3.8323,2.7491,753,-1,1394,1394,1394,1,0,0,0,0,0,0,0,0,0,0,0,0,823,1365,1809,320,1794.509,319.4826,1488.6036,740,2,5.1333,0.1303,0.025,0.2568,0.2432,0.2973,3,2,1,5.8054,4.8589,1.8215,12,3.1815,4.5116,305.1605,221.6524,0.8381,2.7842,3.7569,267.4455,266.1783,0.8649,0,0,NaN,0,0,NaN
1,1,0,0,7,0,0,-1,-1,-1,100,200,1408,96,3.9696,140.8696,141.1796,1392.6057,-23.0588,1392.6069,23.1335,1413.3546,15.1655,62.6791,4.5576,3.2694,1413.5167,25.8233,106.7277,3.8323,2.7491,2087,-1,1394,1394,1394,3,2,0,0,0,0,0,0,0,0,0,0,0,1809,320,724,1193,704.8532,1205.983,1763.4645,2078,5,5.0673,0.0993,0.0094,0.1877,0.1347,0.231,2,7,2,22.8851,22.793,22.0089,12,3.1815,4.5116,305.1605,221.6524,0.8381,2.7842,3.7569,267.4455,266.1783,0.8649,0,0,NaN,0,0,NaN
1,1,0,0,8,0,0,-1,-1,-1,100,200,1408,96,3.9696,328.6956,330.0641,1376.3032,-5.3096,1376.6692,32.1786,1413.3546,15.1655,62.6791,4.5576,3.2694,1413.5167,25.8233,106.7277,3.8323,2.7491,1328,-1,1394,1394,1394,2,0,0,0,0,0,0,0,0,0,0,0,0,724,1193,1917,506,1905.071,476.1142,1522.9575,1317,2,4.4405,0.0586,0.0097,0.2809,0.2126,0.7973,1,5,2,42.8974,43.0088,32.7026,12,3.1815,4.5116,305.1605,221.6524,0.8381,2.7842,3.7569,267.4455,266.1783,0.8649,0,0,NaN,0,0,NaN
1,1,0,0,9,0,0,-1,-1,-1,100,200,1408,96,3.9696,156.5217,158.3114,1415.1378,11.0172,1415.1869,16.1308,1413.3546,15.1655,62.6791,4.5576,3.2694,1413.5167,25.8233,106.7277,3.8323,2.7491,1418,-1,1394,1394,1394,1,0,0,0,0,0,0,0,0,0,0,0,0,1917,506,602,1029,616.6483,1035.755,1467.5425,1408,3,3.8895,0.0749,0.0125,0.2699,0.1847,0.2557,4,6,0,34.9664,27.7161,1.3798,12,3.1815,4.5116,305.1605,221.6524,0.8381,2.7842,3.7569,267.4455,266.1783,0.8649,0,0,NaN,0,0,NaN
1,1,0,0,10,0,0,-1,-1,-1,100,200,1408,96,3.9696,344.3478,345.409,1452.7664,35.7278,1452.8565,39.2234,1413.3546,15.1655,62.6791,4.5576,3.2694,1413.5167,25.8233,106.7277,3.8323,2.7491,1280,-1,1394,1394,1394,1,0,0,0,0,0,0,0,0,0,0,0,0,602,1029,2008,663,1969.275,656.767,1574.2902,1274,3,3.3339,0.0565,0.0116,0.2276,0.4474,0.2904,1,3,1,50.341,46.0869,31.9516,12,3.1815,4.5116,305.1605,221.6524,0.8381,2.7842,3.7569,267.4455,266.1783,0.8649,0,0,NaN,0,0,NaN
