
Subject,Circular?,Block,Condition,Trial,Practice?,Metronome?,MT%,MTPred,MT,a(given),b(given),A,W,ID,axis,angle,ae(1d),dx(1d),ae(2d),dx(2d),Ae(1d),SD(1d),We(1d),IDe(1d),TP(1d),Ae(2d),SD(2d),We(2d),IDe(2d),TP(2d),MTe,MTRatio,MeanMTe,MeanMTe(sx),MeanMTe(tx),Entries,Overshoots,Error?,Errors,Errors(sx),Errors(tx),Error%,Error%(sx),Error%(tx),SpatialOutlier?,TemporalOutlier?,SpatialOutliers,TemporalOutliers,StartX,StartY,EndX,EndY,TargetX,TargetY,Travel,Duration,Submovements,MaxVelocity,MaxAcceleration,MaxJerk,tMaxVelocity,tMaxAcceleration,tMaxJerk,TAC,MDC,ODC,MV,ME,MO,N,Fitts_TP_avg(1d),Fitts_TP_inv(1d),Fitts_a(1d),Fitts_b(1d),Fitts_r(1d),Fitts_TP_avg(2d),Fitts_TP_inv(2d),Fitts_a(2d),Fitts_b(2d),Fitts_r(2d),Error_m(1d),Error_b(1d),Error_r(1d),Error_m(2d),Error_b(2d),Error_r(2d)
1,1,0,0,1,1,0,-1,-1,-1,100,200,256,128,1.585,93.913,95.324,280.2057,14.3635,280.2089,14.4232,250.8168,22.3642,92.4311,1.8928,3.429,251.837,26.7275,110.4646,1.7136,3.1044,786,-1,552,552,552,1,0,0,0,0,0,0,0,0,0,0,0,0,1286,662,1260,941,1262.571,926.8078,378.9599,772,2,1.9619,0.0421,0.0069,0.6218,0.6865,0.6865,4,4,1,10.1919,7.9493,-2.2417,12,3.0267,3.794,231.1027,263.5744,0.862,2.6093,3.4363,269.8884,291.0134,0.878,0,0,NaN,0,0,NaN
1,1,0,0,2,1,0,-1,-1,-1,100,200,256,128,1.585,281.7391,280.8595,249.4431,-20.3788,249.4674,20.675,250.8168,22.3642,92.4311,1.8928,3.429,251.837,26.7275,110.4646,1.7136,3.1044,664,-1,552,552,552,1,0,0,0,0,0,0,0,0,0,0,0,0,1260,941,1307,696,1314.534,676.7466,274.3167,660,2,1.512,0.0388,0.0041,0.303,0.4091,0.4091,2,2,1,4.7271,4.3086,0.9414,12,3.0267,3.794,231.1027,263.5744,0.862,2.6093,3.4363,269.8884,291.0134,0.878,0,0,NaN,0,0,NaN
1,1,0,0,3,1,0,-1,-1,-1,100,200,256,128,1.585,109.5652,113.8784,275.8397,41.1003,276.6821,46.4188,250.8168,22.3642,92.4311,1.8928,3.429,251.837,26.7275,110.4646,1.7136,3.1044,656,-1,552,552,552,1,0,0,0,0,0,0,0,0,0,0,0,0,1307,696,1195,949,1229.005,917.4031,326.7276,642,1,1.2674,0.0467,0.0031,0.4984,0.4984,0.4829,0,2,1,13.0597,33.616,33.616,12,3.0267,3.794,231.1027,263.5744,0.862,2.6093,3.4363,269.8884,291.0134,0.878,0,0,NaN,0,0,NaN
1,1,0,0,4,0,0,-1,-1,-1,100,200,256,128,1.585,297.3913,303.2369,315.244,15.7324,315.6343,22.2193,250.8168,22.3642,92.4311,1.8928,3.429,251.837,26.7275,110.4646,1.7136,3.1044,515,-1,552,552,552,1,0,0,0,0,0,0,0,0,0,0,0,0,1195,949,1368,685,1346.507,690.6343,325.2809,488,1,1.8675,0.0497,0.006,0.3074,0.2664,0.2459,1,3,0,5.4604,4.78,1.8715,12,3.0267,3.794,231.1027,263.5744,0.862,2.6093,3.4363,269.8884,291.0134,0.878,0,0,NaN,0,0,NaN
1,1,0,0,5,0,0,-1,-1,-1,100,200,256,128,1.585,125.2174,132.4489,285.1777,12.4012,285.9545,24.4435,250.8168,22.3642,92.4311,1.8928,3.429,251.837,26.7275,110.4646,1.7136,3.1044,625,-1,552,552,552,1,0,0,0,0,0,0,0,0,0,0,0,0,1368,685,1175,896,1199.221,899.291,303.0542,587,1,1.0448,0.0555,0.0072,0.494,0.494,0.494,0,1,0,10.3329,28.2933,28.2933,12,3.0267,3.794,231.1027,263.5744,0.862,2.6093,3.4363,269.8884,291.0134,0.878,0,0,NaN,0,0,NaN
1,1,0,0,6,0,0,-1,-1,-1,100,200,256,128,1.585,313.0434,315.697,290.532,20.2649,290.6424,21.7904,250.8168,22.3642,92.4311,1.8928,3.429,251.837,26.7275,110.4646,1.7136,3.1044,498,-1,552,552,552,1,0,0,0,0,0,0,0,0,0,0,0,0,1175,896,1383,693,1373.547,712.6332,308.8695,479,1,1.5412,0.0707,0.0061,0.1461,0.1253,0.1253,0,3,0,2.7183,12.7532,-12.7532,12,3.0267,3.794,231.1027,263.5744,0.862,2.6093,3.4363,269.8884,291.0134,0.878,0,0,NaN,0,0,NaN
1,1,0,0,7,0,0,-1,-1,-1,100,200,256,128,1.585,140.8695,144.2933,274.6541,-0.6281,275.8568,25.7394,250.8168,22.3642,92.4311,1.8928,3.429,251.837,26.7275,110.4646,1.7136,3.1044,517,-1,552,552,552,1,0,0,0,0,0,0,0,0,0,0,0,0,1383,693,1159,854,1175.428,873.8151,282.8861,503,1,1.0834,0.0453,0.0045,0.2982,0.0199,0.0199,0,2,0,10.4389,20.837,20.837,12,3.0267,3.794,231.1027,263.5744,0.862,2.6093,3.4363,269.8884,291.0134,0.878,0,0,NaN,0,0,NaN
1,1,0,0,8,0,0,-1,-1,-1,100,200,256,128,1.585,328.6956,335.3764,211.1694,-49.2225,211.2061,49.3798,250.8168,22.3642,92.4311,1.8928,3.429,251.837,26.7275,110.4646,1.7136,3.1044,498,-1,552,552,552,1,0,0,0,0,0,0,0,0,0,0,0,0,1159,854,1351,766,1393.649,741.1117,286.8035,478,2,1.424,0.0296,0.0064,0.3347,0.3347,0.4184,1,4,1,0.7596,0.9905,0.9856,12,3.0267,3.794,231.1027,263.5744,0.862,2.6093,3.4363,269.8884,291.0134,0.878,0,0,NaN,0,0,NaN
1,1,0,0,9,0,0,-1,-1,-1,100,200,256,128,1.585,156.5217,164.8521,186.2307,-20.2207,187.5153,29.8159,250.8168,22.3642,92.4311,1.8928,3.429,251.837,26.7275,110.4646,1.7136,3.1044,592,-1,552,552,552,1,0,0,0,0,0,0,0,0,0,0,0,0,1351,766,1170,815,1159.391,842.8646,189.6012,560,1,0.6321,0.0446,0.0045,0.3929,0.0179,0.0179,2,1,0,9.0081,11.2442,11.2019,12,3.0267,3.794,231.1027,263.5744,0.862,2.6093,3.4363,269.8884,291.0134,0.878,0,0,NaN,0,0,NaN
1,1,0,0,10,0,0,-1,-1,-1,100,200,256,128,1.585,344.3478,351.4806,249.6841,10.8088,249.7559,12.3569,250.8168,22.3642,92.4311,1.8928,3.429,251.837,26.7275,110.4646,1.7136,3.1044,499,-1,552,552,552,1,0,0,0,0,0,0,0,0,0,0,0,0,1170,815,1417,778,1405.323,773.9576,282.5303,488,1,1.1941,0.0252,0.0037,0.2459,0.1025,0.6148,0,1,1,8.9399,20.1757,20.1757,12,3.0267,3.794,231.1027,263.5744,0.862,2.6093,3.4363,269.8884,291.0134,0.878,0,0,NaN,0,0,NaN
