Subject,Circular?,Block,Condition,Trial,Practice?,Metronome?,MT%,MTPred,MT,a(given),b(given),A,W,ID,axis,angle,ae(1d),dx(1d),ae(2d),dx(2d),Ae(1d),SD(1d),We(1d),IDe(1d),TP(1d),Ae(2d),SD(2d),We(2d),IDe(2d),TP(2d),MTe,MTRatio,MeanMTe,MeanMTe(sx),MeanMTe(tx),Entries,Overshoots,Error?,Errors,Errors(sx),Errors(tx),Error%,Error%(sx),Error%(tx),SpatialOutlier?,TemporalOutlier?,SpatialOutliers,TemporalOutliers,StartX,StartY,EndX,EndY,TargetX,TargetY,Travel,Duration,Submovements,MaxVelocity,MaxAcceleration,MaxJerk,tMaxVelocity,tMaxAcceleration,tMaxJerk,TAC,MDC,ODC,MV,ME,MO,N,Fitts_TP_avg(1d),Fitts_TP_inv(1d),Fitts_a(1d),Fitts_b(1d),Fitts_r(1d),Fitts_TP_avg(2d),Fitts_TP_inv(2d),Fitts_a(2d),Fitts_b(2d),Fitts_r(2d),Error_m(1d),Error_b(1d),Error_r(1d),Error_m(2d),Error_b(2d),Error_r(2d)
8,1,0,0,1,1,0,-1,-1,-1,100,200,512,96,2.663,93.9131,96.7662,474.7339,-3.0134,475.3104,23.5969,495.9801,20.8074,85.9971,2.7586,2.6809,496.246,26.6616,110.1922,2.4603,2.391,1342,-1,1029,1029,1029,1,0,0,0,0,0,0,0,0,0,0,0,0,1278,577,1222,1049,1245.141,1053.616,674.8412,1327,3,2.3164,0.0462,0.005,0.2035,0.1959,0.1959,0,1,2,42.7868,63.5275,63.5275,12,3.277,4.7004,298.7395,212.7489,0.8946,2.9326,4.3343,318.3399,230.7189,0.8986,0,0,NaN,0,0,NaN
8,1,0,0,2,1,0,-1,-1,-1,100,200,512,96,2.663,281.7392,284.9678,507.1826,-4.3574,507.209,6.7665,495.9801,20.8074,85.9971,2.7586,2.6809,496.246,26.6616,110.1922,2.4603,2.391,1393,-1,1029,1029,1029,1,0,0,0,0,0,0,0,0,0,0,0,0,1222,1049,1353,559,1349.068,553.4932,565.136,1382,3,2.4012,0.053,0.0058,0.1664,0.152,0.152,1,3,2,11.9849,28.1505,28.1301,12,3.277,4.7004,298.7395,212.7489,0.8946,2.9326,4.3343,318.3399,230.7189,0.8986,0,0,NaN,0,0,NaN
8,1,0,0,3,1,0,-1,-1,-1,100,200,512,96,2.663,109.5653,110.8498,547.8408,40.8761,547.8768,41.3566,495.9801,20.8074,85.9971,2.7586,2.6809,496.246,26.6616,110.1922,2.4603,2.391,931,-1,1029,1029,1029,1,0,0,0,0,0,0,0,0,0,0,0,0,1353,559,1158,1071,1178.009,1034.806,563.8125,904,3,1.4487,0.0344,0.0057,0.3429,0.3208,0.3208,2,4,0,13.1592,13.3946,6.6005,12,3.277,4.7004,298.7395,212.7489,0.8946,2.9326,4.3343,318.3399,230.7189,0.8986,0,0,NaN,0,0,NaN
8,1,0,0,4,0,0,-1,-1,-1,100,200,512,96,2.663,297.3913,297.892,560.049,7.9,560.0616,8.7508,495.9801,20.8074,85.9971,2.7586,2.6809,496.246,26.6616,110.1922,2.4603,2.391,1405,-1,1029,1029,1029,1,0,0,0,0,0,0,0,0,0,0,0,0,1158,1071,1420,576,1413.013,581.2686,595.0595,1401,3,2.5117,0.065,0.0062,0.2712,0.2641,0.3712,1,1,0,22.0526,29.8167,29.753,12,3.277,4.7004,298.7395,212.7489,0.8946,2.9326,4.3343,318.3399,230.7189,0.8986,0,0,NaN,0,0,NaN
8,1,0,0,5,0,0,-1,-1,-1,100,200,512,96,2.663,125.2173,128.3333,547.5143,28.368,548.1788,39.1512,495.9801,20.8074,85.9971,2.7586,2.6809,496.246,26.6616,110.1922,2.4603,2.391,1185,-1,1029,1029,1029,1,0,0,0,0,0,0,0,0,0,0,0,0,1420,576,1080,1006,1118.442,998.5821,569.1622,1164,2,1.5268,0.0295,0.0049,0.1718,0.0258,0.146,0,3,0,11.4726,42.0427,42.0427,12,3.277,4.7004,298.7395,212.7489,0.8946,2.9326,4.3343,318.3399,230.7189,0.8986,0,0,NaN,0,0,NaN
8,1,0,0,6,0,0,-1,-1,-1,100,200,512,96,2.663,313.0434,315.7805,519.0571,-23.8976,519.0645,24.0578,495.9801,20.8074,85.9971,2.7586,2.6809,496.246,26.6616,110.1922,2.4603,2.391,1278,-1,1029,1029,1029,1,0,0,0,0,0,0,0,0,0,0,0,0,1080,1006,1452,644,1467.094,625.2664,533.1707,1193,3,1.2261,0.0385,0.0059,0.3772,0.637,0.394,1,3,0,11.1426,17.0391,17.0224,12,3.277,4.7004,298.7395,212.7489,0.8946,2.9326,4.3343,318.3399,230.7189,0.8986,0,0,NaN,0,0,NaN
8,1,0,0,7,0,0,-1,-1,-1,100,200,512,96,2.663,140.8696,139.9476,475.3682,-11.9326,475.5334,17.3071,495.9801,20.8074,85.9971,2.7586,2.6809,496.246,26.6616,110.1922,2.4603,2.391,780,-1,1029,1029,1029,1,0,0,0,0,0,0,0,0,0,0,0,0,1452,644,1088,950,1070.856,947.6301,494.3371,767,1,2.0633,0.0466,0.0055,0.4172,0.3259,0.4824,1,2,1,11.5251,13.9519,-13.8737,12,3.277,4.7004,298.7395,212.7489,0.8946,2.9326,4.3343,318.3399,230.7189,0.8986,0,0,NaN,0,0,NaN
8,1,0,0,8,0,0,-1,-1,-1,100,200,512,96,2.663,328.6957,329.3573,458.851,-38.6588,459.1089,41.6089,495.9801,20.8074,85.9971,2.7586,2.6809,496.246,26.6616,110.1922,2.4603,2.391,702,-1,1029,1029,1029,1,0,0,0,0,0,0,0,0,0,0,0,0,1088,950,1483,716,1507.299,682.2233,469.4195,677,1,2.2063,0.0345,0.0037,0.325,0.1477,0.325,1,2,2,9.7036,14.5744,13.5154,12,3.277,4.7004,298.7395,212.7489,0.8946,2.9326,4.3343,318.3399,230.7189,0.8986,0,0,NaN,0,0,NaN
8,1,0,0,9,0,0,-1,-1,-1,100,200,512,96,2.663,156.5218,156.3356,467.8448,-7.6954,468.3855,23.779,495.9801,20.8074,85.9971,2.7586,2.6809,496.246,26.6616,110.1922,2.4603,2.391,937,-1,1029,1029,1029,1,0,0,0,0,0,0,0,0,0,0,0,0,1483,716,1054,904,1038.781,885.7292,503.38,932,2,2.0695,0.0379,0.0044,0.3112,0.1824,0.4185,1,2,1,18.0161,22.9182,-19.0953,12,3.277,4.7004,298.7395,212.7489,0.8946,2.9326,4.3343,318.3399,230.7189,0.8986,0,0,NaN,0,0,NaN
8,1,0,0,10,0,0,-1,-1,-1,100,200,512,96,2.663,344.3478,340.2276,487.5562,-13.9952,487.7561,19.7703,495.9801,20.8074,85.9971,2.7586,2.6809,496.246,26.6616,110.1922,2.4603,2.391,709,-1,1029,1029,1029,1,0,0,0,0,0,0,0,0,0,0,0,0,1054,904,1513,739,1530.646,747.9153,497.1997,651,1,1.9138,0.0318,0.0055,0.1843,0.2919,0.2919,2,2,0,7.8236,8.0864,-4.7067,12,3.277,4.7004,298.7395,212.7489,0.8946,2.9326,4.3343,318.3399,230.7189,0.8986,0,0,NaN,0,0,NaN
