Subject,Circular?,Block,Condition,Trial,Practice?,Metronome?,MT%,MTPred,MT,a(given),b(given),A,W,ID,axis,angle,ae(1d),dx(1d),ae(2d),dx(2d),Ae(1d),SD(1d),We(1d),IDe(1d),TP(1d),Ae(2d),SD(2d),We(2d),IDe(2d),TP(2d),MTe,MTRatio,MeanMTe,MeanMTe(sx),MeanMTe(tx),Entries,Overshoots,Error?,Errors,Errors(sx),Errors(tx),Error%,Error%(sx),Error%(tx),SpatialOutlier?,TemporalOutlier?,SpatialOutliers,TemporalOutliers,StartX,StartY,EndX,EndY,TargetX,TargetY,Travel,Duration,Submovements,MaxVelocity,MaxAcceleration,MaxJerk,tMaxVelocity,tMaxAcceleration,tMaxJerk,TAC,MDC,ODC,MV,ME,MO,N,Fitts_TP_avg(1d),Fitts_TP_inv(1d),Fitts_a(1d),Fitts_b(1d),Fitts_r(1d),Fitts_TP_avg(2d),Fitts_TP_inv(2d),Fitts_a(2d),Fitts_b(2d),Fitts_r(2d),Error_m(1d),Error_b(1d),Error_r(1d),Error_m(2d),Error_b(2d),Error_r(2d)
9,1,0,0,1,1,0,-1,-1,-1,100,200,1024,96,3.5443,93.913,93.5482,1017.9513,-8.2596,1017.9514,8.2621,1006.8425,18.6248,76.9765,3.8156,2.7871,1006.8992,21.5605,89.1097,3.6205,2.6447,1141,-1,1369,1369,1369,2,1,0,0,0,0,0,0,0,0,0,0,0,1274,283,1211,1299,1210.283,1307.231,1366.2209,1121,2,5.3713,0.1784,0.0226,0.2855,0.2587,0.2587,4,3,2,31.7474,26.8438,26.0439,12,3.3833,3.8399,117.9853,260.4225,0.9204,3.021,3.696,173.3738,270.5647,0.9356,0,0,NaN,0,0,NaN
9,1,0,0,2,1,0,-1,-1,-1,100,200,1024,96,3.5443,281.7391,281.7084,1015.1205,1.7123,1015.1217,2.2883,1006.8425,18.6248,76.9765,3.8156,2.7871,1006.8992,21.5605,89.1097,3.6205,2.6447,1464,-1,1369,1369,1369,2,2,0,0,0,0,0,0,0,0,0,0,0,1211,1299,1417,305,1418.136,306.9864,1821.5273,1446,3,5.1424,0.1231,0.0196,0.2075,0.2075,0.2075,4,4,2,43.1981,33.2768,-13.0226,12,3.3833,3.8399,117.9853,260.4225,0.9204,3.021,3.696,173.3738,270.5647,0.9356,0,0,NaN,0,0,NaN
9,1,0,0,3,1,0,-1,-1,-1,100,200,1024,96,3.5443,109.5652,109.4837,1019.3727,-3.7325,1019.3728,3.7429,1006.8425,18.6248,76.9765,3.8156,2.7871,1006.8992,21.5605,89.1097,3.6205,2.6447,1373,-1,1369,1369,1369,2,1,0,0,0,0,0,0,0,0,0,0,0,1417,305,1077,1266,1076.019,1269.612,1629.845,1363,3,3.9268,0.3072,0.0297,0.1247,0.7483,0.7483,2,2,5,48.1474,40.3402,-8.9858,12,3.3833,3.8399,117.9853,260.4225,0.9204,3.021,3.696,173.3738,270.5647,0.9356,0,0,NaN,0,0,NaN
9,1,0,0,4,0,0,-1,-1,-1,100,200,1024,96,3.5443,297.3913,297.2292,1003.1609,-14.7935,1003.1675,15.2294,1006.8425,18.6248,76.9765,3.8156,2.7871,1006.8992,21.5605,89.1097,3.6205,2.6447,1405,-1,1369,1369,1369,2,2,0,0,0,0,0,0,0,0,0,0,0,1077,1266,1536,374,1546.027,362.5373,1480.5938,1383,3,4.6052,0.1054,0.0119,0.2242,0.1518,0.1518,2,5,2,50.4289,37.8002,-18.6088,12,3.3833,3.8399,117.9853,260.4225,0.9204,3.021,3.696,173.3738,270.5647,0.9356,0,0,NaN,0,0,NaN
9,1,0,0,5,0,0,-1,-1,-1,100,200,1024,96,3.5443,125.2174,124.3021,986.4883,-19.9786,986.5906,24.5164,1006.8425,18.6248,76.9765,3.8156,2.7871,1006.8992,21.5605,89.1097,3.6205,2.6447,2161,-1,1369,1369,1369,4,4,0,0,0,0,0,0,0,0,0,0,0,1536,374,980,1189,956.8829,1197.164,2130.2605,2157,8,7.917,0.3076,0.0308,0.1113,0.1113,0.1113,4,6,4,57.8354,45.7387,-14.7467,12,3.3833,3.8399,117.9853,260.4225,0.9204,3.021,3.696,173.3738,270.5647,0.9356,0,0,NaN,0,0,NaN
9,1,0,0,6,0,0,-1,-1,-1,100,200,1024,96,3.5443,313.0435,312.1356,1004.6295,4.6979,1004.6397,6.5355,1006.8425,18.6248,76.9765,3.8156,2.7871,1006.8992,21.5605,89.1097,3.6205,2.6447,1229,-1,1369,1369,1369,1,0,0,0,0,0,0,0,0,0,0,0,0,980,1189,1654,444,1654.188,450.5328,1056.1066,1201,3,3.4178,0.0564,0.0081,0.3997,0.3331,0.4996,1,4,3,12.0701,12.4069,7.1375,12,3.3833,3.8399,117.9853,260.4225,0.9204,3.021,3.696,173.3738,270.5647,0.9356,0,0,NaN,0,0,NaN
9,1,0,0,7,0,0,-1,-1,-1,100,200,1024,96,3.5443,140.8696,140.4829,991.6568,-33.9459,991.6582,33.9873,1006.8425,18.6248,76.9765,3.8156,2.7871,1006.8992,21.5605,89.1097,3.6205,2.6447,793,-1,1369,1369,1369,1,0,0,0,0,0,0,0,0,0,0,0,0,1654,444,889,1075,861.7114,1095.26,1223.776,750,2,5.2822,0.3202,0.0268,0.5467,0.52,0.52,0,1,1,32.4979,47.6252,-47.6252,12,3.3833,3.8399,117.9853,260.4225,0.9204,3.021,3.696,173.3738,270.5647,0.9356,0,0,NaN,0,0,NaN
9,1,0,0,8,0,0,-1,-1,-1,100,200,1024,96,3.5443,328.6957,329.6296,976.9956,-10.7792,977.0798,16.7558,1006.8425,18.6248,76.9765,3.8156,2.7871,1006.8992,21.5605,89.1097,3.6205,2.6447,1043,-1,1369,1369,1369,1,0,0,0,0,0,0,0,0,0,0,0,0,889,1075,1732,581,1734.597,564.4467,1081.5147,967,2,4.32,0.0704,0.0047,0.2999,0.2172,0.455,3,4,1,18.5925,16.0854,-13.6149,12,3.3833,3.8399,117.9853,260.4225,0.9204,3.021,3.696,173.3738,270.5647,0.9356,0,0,NaN,0,0,NaN
9,1,0,0,9,0,0,-1,-1,-1,100,200,1024,96,3.5443,156.5217,157.5388,999.8428,-12.8918,999.85,13.4346,1006.8425,18.6248,76.9765,3.8156,2.7871,1006.8992,21.5605,89.1097,3.6205,2.6447,1045,-1,1369,1369,1369,2,1,0,0,0,0,0,0,0,0,0,0,0,1732,581,808,963,797.5624,971.4584,1269.2634,1022,2,3.0651,0.0441,0.0074,0.274,0.1174,0.3914,2,2,1,66.9523,54.2827,41.4298,12,3.3833,3.8399,117.9853,260.4225,0.9204,3.021,3.696,173.3738,270.5647,0.9356,0,0,NaN,0,0,NaN
9,1,0,0,10,0,0,-1,-1,-1,100,200,1024,96,3.5443,344.3478,345.4064,972.2867,-37.0076,972.3713,39.1688,1006.8425,18.6248,76.9765,3.8156,2.7871,1006.8992,21.5605,89.1097,3.6205,2.6447,1219,-1,1369,1369,1369,2,0,0,0,0,0,0,0,0,0,0,0,0,808,963,1749,718,1781.291,695.8305,1228.0461,1190,3,3.719,0.1355,0.0222,0.1681,0.1681,0.1681,1,3,3,48.2938,46.315,-23.2901,12,3.3833,3.8399,117.9853,260.4225,0.9204,3.021,3.696,173.3738,270.5647,0.9356,0,0,NaN,0,0,NaN
