t,participant,variable,variation,task,trial,globaltrial,ID,distance,width,targetleft,targetright,timestamp,mousex,mousey,cursorx,button,trialsuccess, pause, experimenterattention,fitts2prep,fitts2wait,trialstarts,trialtime,time,glfwtime,dx,y,target,widthm,distancem,sgy,sgv,sga,meansurgeerror,meansurgepcttime,meanreactiontime,mediansurgeerror,mediansurgepcttime
1970-01-01 00:07:52.234,1.0,0.0,-1.0,0.0,21.0,531.0,2.0,1275,425,0.11761875,0.2352375,472.2335751,637.0,-18902.0,371.3205867,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.2698040504,0.0,471.8750688,-2.4014266,-0.162917027631,0.176428125,0.11761875,0.35285625,-0.1620730696,-0.608105482093,22.4175165025,0.999045836798,1.0,0.0266829268293,0.995592617531,1.0
1970-01-01 00:07:52.236,1.0,0.0,-1.0,0.0,21.0,531.0,2.0,1275,425,0.11761875,0.2352375,472.2352973,509.0,-18924.0,367.0513839,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.00200000000001,471.8767623,-1.9011293,-0.164098529506,0.176428125,0.11761875,0.35285625,-0.163259899662,-0.564230092612,22.562128252,0.999045836798,1.0,0.0266829268293,0.995592617531,1.0
1970-01-01 00:07:52.238,1.0,0.0,-1.0,0.0,21.0,531.0,2.0,1275,425,0.11761875,0.2352375,472.2373735,390.0,-18945.0,363.0823593,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.00400000000002,471.8788385,-1.9678357,-0.165196957064,0.176428125,0.11761875,0.35285625,-0.164356936287,-0.520381722793,22.6855361234,0.999045836798,1.0,0.0266829268293,0.995592617531,1.0
1970-01-01 00:07:52.240,1.0,0.0,-1.0,0.0,21.0,531.0,2.0,1275,425,0.11761875,0.2352375,472.2397867,283.0,-18966.0,359.5135726,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.00600000000003,471.8812508,-1.7343637,-0.166184618783,0.176428125,0.11761875,0.35285625,-0.165356579278,-0.476330996375,22.7675548816,0.999045836798,1.0,0.0266829268293,0.995592617531,1.0
1970-01-01 00:07:52.242,1.0,0.0,-1.0,0.0,21.0,531.0,2.0,1275,425,0.11761875,0.2352375,472.2415688,176.0,-18988.0,355.9447859,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.00800000000004,471.883034,-1.5008916,-0.167172280502,0.176428125,0.11761875,0.35285625,-0.166270752823,-0.432208638089,22.8416876632,0.999045836798,1.0,0.0266829268293,0.995592617531,1.0
1970-01-01 00:07:52.244,1.0,0.0,-1.0,0.0,21.0,531.0,2.0,1275,425,0.11761875,0.2352375,472.2437066,96.0,-19004.0,353.2765341,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.01,471.8851721,-1.3341259,-0.167910719188,0.176428125,0.11761875,0.35285625,-0.16708659334,-0.387973392043,22.8731741506,0.999045836798,1.0,0.0266829268293,0.995592617531,1.0
1970-01-01 00:07:52.246,1.0,0.0,-1.0,0.0,21.0,531.0,2.0,1275,425,0.11761875,0.2352375,472.2455027,27.0,-19018.0,350.9751669,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.012,471.8870052,-1.0673008,-0.16854762256,0.176428125,0.11761875,0.35285625,-0.167807442758,-0.343448008878,22.8719986204,0.999045836798,1.0,0.0266829268293,0.995592617531,1.0
1970-01-01 00:07:52.248,1.0,0.0,-1.0,0.0,21.0,531.0,2.0,1275,425,0.11761875,0.2352375,472.2472766,-31.0,-19033.0,349.0406844,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.014,471.8887427,-0.900535,-0.169082990592,0.176428125,0.11761875,0.35285625,-0.168436349103,-0.299170044716,22.8467854821,0.999045836798,1.0,0.0266829268293,0.995592617531,1.0
1970-01-01 00:07:52.250,1.0,0.0,-1.0,0.0,21.0,531.0,2.0,1275,425,0.11761875,0.2352375,472.2499516,-75.0,-19045.0,347.5731459,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.016,471.891416,-0.667063,-0.169489131872,0.176428125,0.11761875,0.35285625,-0.168967472826,-0.254863547559,22.7813316659,0.999045836798,1.0,0.0266829268293,0.995592617531,1.0
1970-01-01 00:07:52.252,1.0,0.0,-1.0,0.0,21.0,531.0,2.0,1275,425,0.11761875,0.2352375,472.2518589,-108.0,-19056.0,346.4724921,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.018,471.8933673,-0.5002972,-0.169793737811,0.176428125,0.11761875,0.35285625,-0.169413947821,-0.210645608583,22.7116932658,0.999045836798,1.0,0.0266829268293,0.995592617531,1.0
